campaign_id,spend_date,channel,impressions,clicks,spend_usd
1,2024-01-01,email,40511,337,817.67
1,2024-01-01,referral,39904,231,170.82
1,2024-01-01,partnership,21166,249,1505.25
1,2024-01-02,facebook,34844,161,1675.88
1,2024-01-02,partnership,23958,800,1038.61
1,2024-01-03,organic,42751,255,1610.32
1,2024-01-03,email,17517,291,1838.2
1,2024-01-04,referral,26960,1317,151.11
1,2024-01-04,facebook,13796,1254,1496.15
1,2024-01-05,email,32400,1394,1693.5
1,2024-01-05,organic,28392,1424,1234.63
1,2024-01-05,partnership,42804,1347,675.12
1,2024-01-05,referral,24974,385,1897.62
1,2024-01-06,organic,18927,116,691.23
1,2024-01-06,facebook,27931,194,1070.53
1,2024-01-06,email,16219,1102,1173.94
1,2024-01-07,email,14318,970,1700.22
1,2024-01-07,organic,38638,1313,339.07
1,2024-01-07,partnership,22354,393,1088.79
1,2024-01-07,referral,36631,263,1989.46
1,2024-01-08,facebook,31228,176,1315.99
1,2024-01-08,email,26552,797,1700.33
1,2024-01-08,paid_search,28802,731,112.73
1,2024-01-09,facebook,23232,1015,1793.81
1,2024-01-09,referral,12240,837,1972.08
1,2024-01-10,facebook,23060,369,583.12
1,2024-01-10,partnership,32505,907,363.09
1,2024-01-11,facebook,27093,1114,501.69
1,2024-01-11,referral,21846,485,535.79
1,2024-01-11,email,20918,438,1109.68
1,2024-01-11,paid_search,41477,236,1201.89
1,2024-01-12,referral,24187,382,1518.97
1,2024-01-12,facebook,23564,1116,277.2
1,2024-01-12,paid_search,19896,1298,1237.67
1,2024-01-12,email,41344,625,174.81
1,2024-01-13,partnership,19409,1114,614.7
1,2024-01-13,organic,27552,725,1300.77
1,2024-01-13,paid_search,28211,566,1217.26
1,2024-01-13,referral,40127,1005,1109.15
1,2024-01-14,email,11992,378,873.01
1,2024-01-14,facebook,42491,151,1605.66
1,2024-01-14,referral,16621,503,952.62
1,2024-01-14,organic,15537,164,358.35
1,2024-01-15,facebook,33453,1419,531.51
1,2024-01-15,email,21491,176,1244.41
1,2024-01-16,facebook,41898,398,1319.26
1,2024-01-16,paid_search,10812,595,751.98
1,2024-01-17,paid_search,33818,464,1143.15
1,2024-01-17,facebook,41326,1107,1663.76
1,2024-01-17,email,12072,1341,487.35
1,2024-01-17,organic,12217,994,284.72
1,2024-01-18,organic,39738,668,1583.64
1,2024-01-18,paid_search,16820,919,1224.73
1,2024-01-18,email,30742,669,741.85
1,2024-01-19,partnership,29358,1088,1715.63
1,2024-01-19,referral,41672,807,1917.81
1,2024-01-19,facebook,43066,194,1466.48
1,2024-01-19,organic,34117,994,1006.29
1,2024-01-20,referral,27749,598,1918.63
1,2024-01-20,paid_search,19039,700,1184.75
1,2024-01-21,paid_search,27829,1028,1174.71
1,2024-01-21,organic,42801,198,1422.31
1,2024-01-21,email,35725,1205,880.58
1,2024-01-21,partnership,14562,1486,558.14
1,2024-01-22,email,21777,581,762.09
1,2024-01-22,referral,31125,892,320.74
1,2024-01-22,partnership,8371,587,782.1
1,2024-01-23,organic,28910,369,1417.92
1,2024-01-23,partnership,22156,944,1940.46
1,2024-01-24,email,29277,1327,1029.06
1,2024-01-24,referral,43678,1162,1292.72
1,2024-01-24,paid_search,19916,81,1764.11
1,2024-01-25,organic,27721,105,857.29
1,2024-01-25,referral,18899,237,1355.49
1,2024-01-26,partnership,26250,248,1068.15
1,2024-01-26,paid_search,39091,244,742.13
1,2024-01-26,facebook,35456,761,1638.5
1,2024-01-26,referral,40355,249,518.65
1,2024-01-27,referral,39775,135,997.23
1,2024-01-27,facebook,22851,338,207.36
1,2024-01-27,partnership,37803,567,719.75
1,2024-01-28,email,23290,1155,530.64
1,2024-01-28,partnership,21702,421,1446.65
1,2024-01-28,organic,9408,290,1596.29
1,2024-01-28,paid_search,23501,321,1723.05
1,2024-01-29,facebook,25435,1071,728.99
1,2024-01-29,referral,24965,864,1374.7
1,2024-01-30,paid_search,21541,559,719.26
1,2024-01-30,facebook,26715,1249,880.62
1,2024-01-30,referral,6609,652,1189.79
1,2024-01-30,email,23590,222,383.7
1,2024-01-31,organic,41418,385,570.3
1,2024-01-31,paid_search,25106,150,1793.55
1,2024-01-31,partnership,36687,872,707.13
1,2024-01-31,referral,19387,757,1445.26
1,2024-02-01,referral,8952,572,1634.72
1,2024-02-01,paid_search,32762,1062,246.36
1,2024-02-01,facebook,30440,323,1205.52
1,2024-02-02,facebook,12347,178,1483.9
1,2024-02-02,email,32925,435,1016.42
1,2024-02-02,paid_search,14019,595,825.34
1,2024-02-03,referral,19898,691,789.03
1,2024-02-03,organic,11306,1379,50.57
1,2024-02-04,facebook,30897,1332,1495.02
1,2024-02-04,referral,37423,1336,1337.22
1,2024-02-05,email,12330,1251,1163.94
1,2024-02-05,referral,8573,847,1317.17
1,2024-02-05,paid_search,28309,797,1925.8
1,2024-02-05,organic,8623,1493,1291.78
1,2024-02-06,paid_search,36847,203,1033.12
1,2024-02-06,referral,43726,1262,703.25
1,2024-02-06,organic,11100,590,1071.37
1,2024-02-06,partnership,29380,929,55.58
1,2024-02-07,email,31159,382,1018.54
1,2024-02-07,paid_search,28427,259,955.52
1,2024-02-07,referral,28439,1446,150.63
1,2024-02-08,referral,42677,470,1474.96
1,2024-02-08,paid_search,25852,1478,569.83
1,2024-02-08,partnership,17441,317,852.49
1,2024-02-08,facebook,39654,1166,940.01
1,2024-02-09,organic,34179,382,414.3
1,2024-02-09,referral,13862,503,1563.75
1,2024-02-10,partnership,12798,225,623.31
1,2024-02-10,referral,7564,1175,722.73
1,2024-02-10,email,28213,133,356.34
1,2024-02-11,referral,28594,343,1337.62
1,2024-02-11,email,16738,1161,612.23
1,2024-02-12,paid_search,24098,489,1359.9
1,2024-02-12,partnership,35055,505,1995.59
1,2024-02-13,organic,25713,325,1715.68
1,2024-02-13,partnership,27399,106,1742.04
1,2024-02-13,referral,20838,130,926.4
1,2024-02-13,facebook,6556,883,1996.92
1,2024-02-14,organic,40995,624,79.85
1,2024-02-14,referral,27094,625,1064.06
1,2024-02-14,partnership,13346,946,607.23
1,2024-02-15,facebook,27186,1236,280.83
1,2024-02-15,paid_search,38172,685,1605.1
1,2024-02-15,email,21114,890,718.52
1,2024-02-15,organic,42081,322,627.03
1,2024-02-16,referral,38781,1364,1039.85
1,2024-02-16,email,28604,1229,1158.95
1,2024-02-16,organic,6215,932,1498.67
1,2024-02-16,paid_search,32148,1143,511.77
1,2024-02-17,organic,7644,1182,1928.62
1,2024-02-17,facebook,9347,469,1015.09
1,2024-02-17,paid_search,43009,1266,725.34
1,2024-02-18,partnership,15509,1132,1672.35
1,2024-02-18,facebook,23294,101,742.56
1,2024-02-18,paid_search,23632,1338,1669.65
1,2024-02-18,email,38326,1227,1090.62
1,2024-02-19,partnership,33618,403,1323.26
1,2024-02-19,paid_search,11106,1075,413.77
1,2024-02-20,partnership,41046,653,1625.07
1,2024-02-20,facebook,42722,171,1375.15
1,2024-02-21,email,40450,1413,502.69
1,2024-02-21,organic,27306,734,341.25
1,2024-02-21,partnership,16297,891,1990.77
1,2024-02-22,partnership,24250,735,272.91
1,2024-02-22,organic,8893,239,101.65
1,2024-02-22,facebook,20127,706,1844.44
1,2024-02-23,organic,17896,697,1076.22
1,2024-02-23,email,41678,449,1031.61
1,2024-02-24,organic,32026,1202,54.09
1,2024-02-24,paid_search,24447,91,1458.24
1,2024-02-24,email,30091,1356,1662.53
1,2024-02-25,partnership,41021,1474,542.16
1,2024-02-25,referral,39685,824,1550.88
1,2024-02-25,email,44645,330,579.05
1,2024-02-26,partnership,20951,182,1072.27
1,2024-02-26,referral,32642,348,1698.9
1,2024-02-26,facebook,22068,965,755.17
1,2024-02-26,email,13285,1456,828.27
1,2024-02-27,facebook,23676,1078,208.18
1,2024-02-27,referral,39290,762,554.08
